City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
181,Byron Bay,100,AU,2022-03-28 03:35:24,95,-28.65,153.6167,71.49,10.31
182,Havre-Saint-Pierre,100,CA,2022-03-28 03:35:25,100,50.2334,-63.5986,30.56,10.36
183,Careiro Da Varzea,100,BR,2022-03-28 03:36:25,96,-3.2003,-59.8119,77.63,2.71
184,Puro,30,PH,2022-03-28 03:36:26,63,12.4841,123.3827,86.38,12.28
185,Souillac,40,MU,2022-03-28 03:36:26,78,-20.5167,57.5167,79.18,4.61
186,Caala,100,AO,2022-03-28 03:36:26,95,-12.8525,15.5606,60.67,2.51
187,Tomatlan,36,MX,2022-03-28 03:36:27,71,19.9333,-105.25,66.0,2.71
188,Codo,100,BR,2022-03-28 03:36:27,99,-4.4553,-43.8856,72.97,2.15
189,Luderitz,0,NA,2022-03-28 03:36:28,74,-26.6481,15.1594,62.06,2.46
190,Kochi,81,IN,2022-03-28 03:36:28,74,9.9399,76.2602,82.38,2.1
191,Chapais,100,CA,2022-03-28 03:36:28,93,49.7834,-74.8492,-2.42,10.04
192,Mahajanga,40,MG,2022-03-28 03:36:29,94,-15.7167,46.3167,77.02,2.3
193,Lensk,100,RU,2022-03-28 03:36:29,85,60.7253,114.9278,19.65,9.62
194,Olafsvik,100,IS,2022-03-28 03:36:30,77,64.8945,-23.7142,33.57,20.54
195,Winnemucca,0,US,2022-03-28 03:33:14,31,40.973,-117.7357,60.85,10.36
196,Bairiki,75,KI,2022-03-28 03:36:30,70,1.3292,172.9752,86.0,9.22
197,Kalmunai,5,LK,2022-03-28 03:36:31,70,7.4167,81.8167,84.58,5.12
198,Baiyin,100,CN,2022-03-28 03:36:31,29,36.5583,104.2081,54.18,5.12
199,Nishihara,100,JP,2022-03-28 03:36:31,73,26.1842,127.7558,65.86,14.97
200,Karratha,95,AU,2022-03-28 03:36:32,62,-20.7377,116.8463,83.98,11.5
201,Qaqortoq,37,GL,2022-03-28 03:36:32,73,60.7167,-46.0333,22.66,6.53
202,Santa Rosa,68,PH,2022-03-28 03:36:33,61,14.3122,121.1114,93.09,13.71
203,Jackson,0,US,2022-03-28 03:36:33,51,42.4165,-122.8345,66.07,3.44
204,Iracoubo,100,GF,2022-03-28 03:36:33,84,5.4802,-53.2011,77.38,11.61
205,Cavalcante,56,BR,2022-03-28 03:36:34,59,-13.7975,-47.4583,73.94,2.62
206,Huntsville,100,US,2022-03-28 03:33:16,57,34.7304,-86.5861,46.56,1.99
207,Palana,100,RU,2022-03-28 03:36:35,68,59.1167,159.9667,28.06,30.27
208,Moose Factory,100,CA,2022-03-28 03:36:35,78,51.2585,-80.6094,3.2,8.05
209,Cherskiy,78,RU,2022-03-28 03:36:35,84,68.75,161.3,9.03,7.25
210,Shira,5,RU,2022-03-28 03:36:36,41,54.4911,89.9531,23.52,3.98
211,Vao,11,NC,2022-03-28 03:36:36,67,-22.6667,167.4833,77.02,15.88
212,Iqaluit,100,CA,2022-03-28 03:36:37,92,63.7506,-68.5145,11.93,4.61
213,Girne,0,CY,2022-03-28 03:36:37,67,35.3417,33.3167,49.55,2.15
214,Ambagarh Chauki,10,IN,2022-03-28 03:36:38,8,20.7833,80.7167,96.8,1.7
215,Avera,34,US,2022-03-28 03:36:38,50,33.194,-82.5271,54.91,8.86
216,Saldanha,30,ZA,2022-03-28 03:36:38,80,-33.0117,17.9442,61.36,8.16
217,Teguldet,44,RU,2022-03-28 03:36:39,83,57.3064,88.1667,26.15,3.62
218,Hami,97,CN,2022-03-28 03:36:39,29,42.8,93.45,54.36,8.93
219,Galle,5,LK,2022-03-28 03:34:44,66,6.0367,80.217,85.1,6.17
220,Dudinka,94,RU,2022-03-28 03:36:40,95,69.4058,86.1778,2.01,8.77
221,Codrington,10,AU,2022-03-28 03:36:40,61,-38.2667,141.9667,67.96,10.94
222,Niamey,4,NE,2022-03-28 03:36:41,8,13.5137,2.1098,86.29,11.5
223,Magadan,100,RU,2022-03-28 03:36:41,60,59.5667,150.8,24.53,11.01
224,Lianzhou,100,CN,2022-03-28 03:36:42,70,24.7811,112.3825,64.71,4.0
225,Shahr-E Babak,0,IR,2022-03-28 03:36:42,9,30.1165,55.1186,52.79,2.77
226,Lodja,100,CD,2022-03-28 03:36:43,100,-3.4833,23.4333,69.31,2.59
227,Geraldton,48,AU,2022-03-28 03:37:43,51,-28.7667,114.6,90.01,17.27
228,Nova Olinda Do Norte,100,BR,2022-03-28 03:37:44,98,-3.8881,-59.0942,74.1,0.76
229,Vestmannaeyjar,100,IS,2022-03-28 03:37:44,82,63.4427,-20.2734,40.71,33.11
230,Nanakuli,100,US,2022-03-28 03:37:45,69,21.3906,-158.1547,78.75,3.44
231,Freetown,18,SL,2022-03-28 03:37:45,82,8.484,-13.2299,74.82,6.93
232,Cody,0,US,2022-03-28 03:37:45,28,44.5263,-109.0565,57.4,4.61
233,Naron,100,ES,2022-03-28 03:37:46,76,43.5167,-8.1528,54.68,2.48
234,Kaitangata,3,NZ,2022-03-28 03:37:46,69,-46.2817,169.8464,65.82,4.94
235,Saint-Joseph,38,RE,2022-03-28 03:37:47,80,-21.3667,55.6167,77.38,5.39
236,Sulphur,0,US,2022-03-28 03:35:06,94,30.2366,-93.3774,65.01,8.05
237,Sakyla,100,FI,2022-03-28 03:37:47,86,61.0333,22.3333,38.37,16.33
238,Beyneu,58,KZ,2022-03-28 03:37:48,77,45.3167,55.2,41.58,7.99
239,Gat,0,IL,2022-03-28 03:35:04,83,31.61,34.7642,50.4,6.26
240,Flinders,98,AU,2022-03-28 03:37:48,85,-34.5833,150.8552,73.06,9.82
241,Calama,0,CL,2022-03-28 03:37:49,24,-22.4667,-68.9333,54.84,2.55
242,East London,0,ZA,2022-03-28 03:37:49,88,-33.0153,27.9116,67.14,12.66
243,Coquimbo,1,CL,2022-03-28 03:37:50,78,-29.9533,-71.3436,63.37,1.36
244,Kaeo,3,NZ,2022-03-28 03:37:50,65,-35.1,173.7833,75.33,5.37
245,Bowen,0,AU,2022-03-28 03:37:50,66,-20.0167,148.2333,83.12,14.41
246,Haukipudas,100,FI,2022-03-28 03:37:51,90,65.1765,25.3523,21.25,15.05
247,Craig,0,US,2022-03-28 03:36:20,40,40.5153,-107.5464,55.02,6.91
248,Victoria,100,HK,2022-03-28 03:35:56,91,22.2855,114.1577,66.94,4.0
249,Ust-Karsk,94,RU,2022-03-28 03:37:52,36,52.7011,118.8077,29.98,13.96
250,Skibbereen,1,IE,2022-03-28 03:37:07,94,51.55,-9.2667,42.12,9.06
251,Tiksi,100,RU,2022-03-28 03:37:52,86,71.6872,128.8694,2.77,3.56
252,Bilma,0,NE,2022-03-28 03:37:53,12,18.6853,12.9164,65.19,6.44
253,Pevek,21,RU,2022-03-28 03:37:53,92,69.7008,170.3133,-6.07,6.6
254,Saint George,0,US,2022-03-28 03:36:12,11,37.1041,-113.5841,73.99,13.8
255,Namibe,89,AO,2022-03-28 03:37:54,71,-15.1961,12.1522,70.36,10.09
256,Weinan,3,CN,2022-03-28 03:37:54,47,34.5036,109.5089,60.44,9.53
257,San Patricio,51,US,2022-03-28 03:37:55,81,28.017,-97.5169,69.89,14.5
258,Aksu,53,CN,2022-03-28 03:37:55,24,41.1231,80.2644,54.52,3.83
259,Narsaq,17,GL,2022-03-28 03:37:55,69,60.9167,-46.05,41.22,7.23
260,Bantry,2,IE,2022-03-28 03:37:56,91,51.6833,-9.45,41.79,6.91
261,Alta Floresta,100,BR,2022-03-28 03:37:56,98,-9.8756,-56.0861,71.44,1.48
262,Grindavik,100,IS,2022-03-28 03:37:57,87,63.8424,-22.4338,41.47,16.11
263,Carutapera,100,BR,2022-03-28 03:37:57,89,-1.195,-46.02,77.07,5.41
264,Lalibela,5,ET,2022-03-28 03:37:57,60,12.0333,39.0333,57.4,6.2
265,Hamilton,0,US,2022-03-28 03:33:50,63,39.1834,-84.5333,30.94,11.5
266,Pisco,0,PE,2022-03-28 03:37:58,77,-13.7,-76.2167,68.05,8.05
267,Te Anau,1,NZ,2022-03-28 03:37:58,39,-45.4167,167.7167,75.04,3.02
268,Pekan,15,MY,2022-03-28 03:37:59,66,3.4836,103.3996,86.11,7.23
269,Aklavik,100,CA,2022-03-28 03:37:59,99,68.2191,-135.0107,-7.29,4.05
270,Gravdal,75,NO,2022-03-28 03:38:00,80,68.1214,13.5031,28.29,19.57
271,Celestun,0,MX,2022-03-28 03:38:00,61,20.8667,-90.4,74.34,18.97
272,Walvis Bay,30,NA,2022-03-28 03:38:00,90,-22.9575,14.5053,62.1,5.19
273,Seymchan,77,RU,2022-03-28 03:39:01,76,62.8833,152.4333,11.55,5.08
274,Prince Rupert,0,CA,2022-03-28 03:35:05,71,54.3161,-130.3201,47.89,17.27
275,Cabo San Lucas,20,MX,2022-03-28 03:39:01,33,22.8909,-109.9124,77.31,11.5
276,Lang Son,58,VN,2022-03-28 03:39:02,58,21.8333,106.7333,69.91,6.31
277,Dalen,3,NL,2022-03-28 03:39:02,95,52.6992,6.7556,41.07,5.01
278,Fort Nelson,75,CA,2022-03-28 03:39:03,69,58.8053,-122.7002,27.99,2.3
279,Shihezi,59,CN,2022-03-28 03:39:03,48,44.3,86.0333,49.6,5.53
280,General Roca,0,AR,2022-03-28 03:39:04,29,-39.0333,-67.5833,63.25,5.41
281,Loncoche,0,CL,2022-03-28 03:39:04,95,-39.3667,-72.6333,42.75,0.78
282,Villazon,2,BO,2022-03-28 03:39:05,63,-22.0866,-65.5942,50.16,5.95
283,Alofi,98,NU,2022-03-28 03:39:05,79,-19.0595,-169.9187,84.09,8.05
284,Tigzirt,44,DZ,2022-03-28 03:39:05,81,36.8886,4.1198,54.18,3.74
285,Matara,4,LK,2022-03-28 03:39:06,66,5.9485,80.5353,85.77,7.63
286,Goulburn,100,AU,2022-03-28 03:39:06,76,-34.75,149.7167,66.76,6.62
287,Isla Vista,100,US,2022-03-28 03:39:07,76,34.4133,-119.861,57.83,13.8
288,Guerrero Negro,65,MX,2022-03-28 03:35:15,83,27.9769,-114.0611,60.55,9.13
289,Mahibadhoo,99,MV,2022-03-28 03:39:07,72,3.7833,72.9667,81.77,5.79
290,Cockburn Town,59,TC,2022-03-28 03:35:27,68,21.4612,-71.1419,76.21,18.37
291,Provideniya,0,RU,2022-03-28 03:39:08,73,64.3833,-173.3,21.36,4.0
292,Dingle,21,PH,2022-03-28 03:39:09,56,10.9995,122.6711,88.92,14.2
293,Mana,100,GF,2022-03-28 03:39:09,87,5.6592,-53.7767,76.75,10.13
294,Labuan,20,MY,2022-03-28 03:39:10,79,5.2767,115.2417,84.56,0.0
295,Andenes,40,NO,2022-03-28 03:39:10,58,69.3143,16.1194,24.78,28.77
296,Vysokogornyy,92,RU,2022-03-28 03:39:10,79,50.1167,139.15,22.42,14.61
297,Meulaboh,92,ID,2022-03-28 03:39:11,65,4.1363,96.1285,84.42,2.13
298,Nome,0,US,2022-03-28 03:39:11,69,64.5011,-165.4064,30.27,4.61
299,Nizhniy Kuranakh,100,RU,2022-03-28 03:39:12,86,58.8353,125.4869,27.75,5.55
300,Sur,0,OM,2022-03-28 03:39:12,35,22.5667,59.5289,84.63,1.97
301,Genhe,8,CN,2022-03-28 03:39:13,45,50.7833,121.5167,34.43,11.5
302,Sao Filipe,100,CV,2022-03-28 03:39:13,75,14.8961,-24.4956,70.16,6.38
303,Boyolangu,72,ID,2022-03-28 03:39:14,64,-8.1181,111.8935,87.13,1.97
304,Waitati,3,NZ,2022-03-28 03:39:14,86,-45.75,170.5667,59.81,10.27
305,Jiuquan,75,CN,2022-03-28 03:39:14,22,39.7432,98.5174,51.48,14.63
306,Iquique,26,CL,2022-03-28 03:39:15,76,-20.2208,-70.1431,66.87,2.46
307,Channel-Port Aux Basques,100,CA,2022-03-28 03:39:15,98,47.5702,-59.1367,34.72,6.24
